memory,order_r,order_i,estimator_factory,score,n_coef,N
4,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.4549572022276335,180,9673
2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5498939931282752,43,9675
3,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488451920728289,18,9674
3,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.45318940842500866,68,9674
1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.3531639883789363,29,9676
1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5060601365116011,14,9676
5,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.45263499265703827,166,9672
5,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.4557646633271275,110,9672
4,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.948919593819459,25,9673
2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.37545557003835284,58,9675
4,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.4531589619991286,110,9673
1,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6082896604661073,22,9676
4,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.45223469987798004,110,9673
4,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.46746869959564746,130,9673
1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.4578027436922209,18,9676
2,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.28379633753123146,89,9675
1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9486868792387659,7,9676
1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5058017521363112,16,9676
4,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.17549820552613052,502,9673
4,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.20013029504739238,376,9673
4,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.4619569853195484,60,9673
3,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.360422331179189,139,9674
2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.48350450140561496,22,9675
