n,e
735,0.3411122718471474
736,0.29978029586912586
737,0.20211065928723385
738,0.13569820372836125
739,0.10630761242334148
740,0.047868521116650006
741,0.0533919950163762
742,0.14611304827226979
743,0.1968113922819535
744,0.2235771514395818
745,0.31578352273041216
746,0.38010131423707566
747,0.44058150244266864
748,0.5005818783637129
749,0.5528611079381712
750,0.6292740445792347
751,0.667322814235404
752,0.7485618554387392
753,0.8158334185215087
754,0.9247929915102372
755,0.9725070929544906
756,1.056950926487907
757,1.1345652948397533
758,1.1943986180629222
759,1.260759537349234
760,1.2281869140993018
761,1.1821671984404571
762,1.1110032041123536
763,1.029146811571173
764,0.8777414539658396
765,0.781243283303579
766,0.694273555580054
767,0.6257260835873547
768,0.5606991073357658
769,0.5827440141047393
770,0.5229922327968732
771,0.45356323159574735
772,0.37672257445403035
773,0.3259054745616205
774,0.3933114671091806
775,0.5398379041499637
776,0.6775824232677381
777,0.7868766494308571
778,0.8099502375178361
779,0.7677550597292407
780,0.7050824024774713
781,0.5836895184334507
782,0.3650619639268628
783,0.24476444145287038
784,0.3692005876645869
785,0.6047843022153749
786,0.8160430320319614
787,1.051981838060772
788,1.1955730860465397
789,1.2200180204039626
790,1.136948258185499
791,0.9750442681305131
792,0.7279742168617244
793,0.5015117221427335
794,0.2547916625292276
795,0.2986388308576301
796,0.44283827991686886
797,0.6008202216870062
798,0.7187607202118109
799,0.7492429839374352
800,0.7831971743822924
801,0.851422053848184
802,0.7324719708670692
803,0.7265691810596189
804,0.67907123973999
805,0.6227056720487457
806,0.5666797165052571
807,0.5055476732283736
808,0.5238225784982126
809,0.5990340216687037
810,0.7263066061419677
811,0.8379819001894536
812,0.9576860493058081
813,0.9831695878514193
814,0.9772892591102607
815,0.9044017197962987
816,0.7465703852026842
817,0.6669565529116203
818,0.4592078823747195
819,0.3237292390380976
820,0.3296156058107859
821,0.472157542198777
822,0.6260143891326381
823,0.806768599378196
824,0.9304915170864393
825,0.9686779171175912
826,1.0764698381737483
827,1.015668854127292
828,0.8949503763667803
829,0.7193252493895265
830,0.5460783647712495
831,0.3386601102132884
832,0.19104724551470278
833,0.27797290023694193
834,0.4516300124115637
835,0.553493395921621
836,0.6265622634127694
837,0.6559239755291157
838,0.5946231450532083
839,0.4520330260579228
840,0.2842710347555432
841,0.1470057457077745
842,0.2374948096396695
843,0.42246198140309976
844,0.6048590255204891
845,0.7225630652076227
846,0.8021430535320279
847,0.7828070628413314
848,0.7644187702098605
849,0.7938932705862828
850,0.8813034803644467
851,0.9654228464186637
852,1.0950871013288725
853,1.1546899537893527
854,1.2005976151990196
855,1.2197811666292127
856,1.218798882269625
857,1.2358887472048667
858,1.199580786224089
859,1.1000136716405036
860,1.0331063788204748
861,0.9903750526268406
862,0.8803814896483636
863,0.776480984202774
864,0.7219021647306724
865,0.6254570320682508
866,0.5384770316053836
867,0.4512393277856992
868,0.4021304148144653
869,0.28190538334954673
870,0.21014302468664453
871,0.1623002586029042
872,0.1046222012155957
873,0.0743883261921099
874,0.06662903718205926
875,0.05131079225689813
876,0.0953134018644608
877,0.17161148366585988
878,0.2192571277447604
879,0.3292594455830126
880,0.40447103039197124
881,0.5326364576378173
882,0.5952573058060512
883,0.6653856251732418
884,0.7315983606691944
885,0.7924646522449655
886,0.8693128789323152
887,0.9135998461918573
888,0.9825877401483308
889,1.0104141909567097
890,1.0679063429790703
891,1.0921071718453188
892,1.1509914229947582
893,1.1464945554208983
894,1.1144615091589776
895,1.082296545256654
896,1.003331885741541
897,0.9337557162091369
898,0.8262760218267757
899,0.7139878765315473
900,0.653094693111386
901,0.6201950789782448
902,0.5987094095931824
903,0.6393384318208675
904,0.5325827845210268
905,0.4719405665945399
906,0.350510700820714
907,0.28356785697815046
908,0.2700638705268231
909,0.4197491066512255
910,0.5717974630943945
911,0.6730154695965764
912,0.7745828009497832
913,0.8005247230269726
914,0.7297796922346682
915,0.6120251641876483
916,0.47834085934662135
917,0.3389925636331177
918,0.4483665557564495
919,0.5948961639621905
920,0.7780114844672219
921,0.9633381656494038
922,1.0985085438353002
923,1.1051782798728027
924,1.0508728105508054
925,0.9724695041507141
926,0.8045487152928045
927,0.6136097224471553
928,0.35260877170333077
929,0.09357851654537437
930,0.21948493308650224
931,0.49386115566958566
932,0.6976021975228168
933,0.8774121304424854
934,1.032308106373818
935,1.0256056050828593
936,1.0036235135348934
937,0.9163307219835869
938,0.7485192772088964
939,0.6307439406290425
940,0.5388880848010088
941,0.5260710664616592
