ang,g03,p03,g06,p06,g10,p10,g115,p115
137.0,27.41546207470766,3.3708758124348037,27.39432922249726,2.6910578559544263,27.34837972709002,1.0665373342631028,27.327706539932684,0.24162059805382796
138.0,27.41654041249294,3.3672641313485485,27.398712639026257,2.6770166171570793,27.360811099149824,1.0298301405427992,27.34429492740086,0.19459887711684587
139.0,27.417578410042008,3.3631632742763884,27.402936837459695,2.6610047336271805,27.37281418341989,0.987605372134226,27.36032597703791,0.1402554314114468
140.0,27.418571005325752,3.358593043649762,27.40698168768905,2.6431013572814663,27.384334174173016,0.940083290539576,27.375727943179182,0.07888238710103224
141.0,27.41951335922367,3.353575506639089,27.410827966263657,2.6233943974903298,27.39531889933025,0.8875064476234513,27.390432650672444,0.010800031017708989
142.0,27.420400878526547,3.3481348860888147,27.41445743999327,2.6019800670540008,27.40571899837657,0.830138302616291,27.40437569513569,-0.06364510179892591
143.0,27.42122923771384,3.3422974415304907,27.41785294430894,2.578962397166862,27.41548808378001,0.768261807571065,27.41749662034724,-0.1440821475649443
144.0,27.42199439941239,3.3360913408709223,27.420998456200557,2.5544527239818535,27.424582886567105,0.702177969146561,27.42973907433747,-0.2301178299740343
145.0,27.422692633449778,3.329546523388302,27.42387916157796,2.528569149345259,27.43296338676654,0.6322043934986254,27.44105094579545,-0.32133836491817647
146.0,27.423320534422466,3.322694554697847,27.426481516928092,2.5014359782181543,27.44059292946757,0.5586738199892807,27.4513844824082,-0.41731134733572617
147.0,27.42387503770589,3.3155684743765903,27.42879330516345,2.4731831352405607,27.44743832725191,0.4819326483925295,27.46069639272076,-0.5175876155909975
148.0,27.42435343384077,3.308202636961056,27.430803685576926,2.4439455628273663,27.453469949749195,0.4023394633022406,27.468947933045396,-0.6217030904330443
149.0,27.42475338123691,3.3006325470529134,27.432503237835387,2.4138626031190427,27.45866180103944,0.3202635585373912,27.476104980862246,-0.7291805870832775
150.0,27.425072917143382,3.292894689286328,27.433883999958706,2.3830773660410784,27.462991585582156,0.23608346351230125,27.482138096045183,-0.8395316003503979
151.0,27.4253104668408,3.285026353926753,27.43493950024341,2.3517360856647542,27.466440763294496,0.15018547279279915,27.487022571119624,-0.9522580638689817
152.0,27.425464851019214,3.2770654588837544,27.43566478310008,2.319987467001596,27.46899459433054,0.06296217940766269,27.490738471616027,-1.066854085591757
153.0,27.42553529131215,3.2690503689319144,27.436056428781747,2.2879820253151877,27.470642174033614,-0.02518898807116443,27.493270667427407,-1.182807662546935
154.0,27.425521413964834,3.2610197129411063,27.436112566987497,2.2558714199910526,27.471376458444805,-0.113867225122533,27.494608855913505,-1.2996023785885313
155.0,27.425423251622078,3.2530121999243136,27.435832884330836,2.223807784974582,27.471194280655517,-0.20266980833753223,27.494747577320794,-1.4167190894325756
156.0,27.42524124322866,3.2450664347138343,27.435218625667165,2.191943057766622,27.470096358191725,-0.29119355099101085,27.493686222908554,-1.5336375996757852
157.0,27.42497623204236,3.237220734078761,27.434272589278905,2.160428308958359,27.4680872915146,-0.37903625830495,27.49142903598826,-1.6498383367452618
158.0,27.42462946176734,3.2295129440938695,27.432999115921064,2.129413074290653,27.465175553617303,-0.465798183620052,27.48798510589891,-1.764804026824521
159.0,27.424202570822853,3.2219802595690226,27.43140407173446,2.0990446912390723,27.461373470593813,-0.5510834866184666,27.48336835475574,-1.8780213777430106
160.0,27.423697584769734,3.21465904633925,27.429494825038972,2.0694676421524036,27.456697192953,-0.6345016945612088,27.47759751662642,-1.988982773605244
161.0,27.423116906924506,3.2075846672102557,27.42728021702538,2.0408229060114706,27.45116665735295,-0.7156691672163618,27.470696108608315,-2.0971879855695477
162.0,27.422463307198193,3.200791312340982,27.424770526371955,2.013247320922062,27.444805538336933,-0.7942105657655247,27.462692393105506,-2.2021459026628634
163.0,27.421739909204494,3.1943118348331154,27.421977427821275,1.9868729595111745,27.437641189566797,-0.8697603254807973,27.45361933043609,-2.303376285839761
164.0,27.420950175689022,3.188177592280681,27.4189139447639,1.961826519459322,27.42970457397258,-0.9419641313743057,27.44351452074187,-2.4004115476537606
165.0,27.42009789233886,3.182418295014145,27.415594395889475,1.9382287314658413,27.421030182171215,-1.0104803953326211,27.43242013402609,-2.4927985589133357
166.0,27.419187150038553,3.177061861752435,27.41203433598139,1.9161937870149757,27.41165593845463,-1.074981732471997,27.42038282701312,-2.5801004825374605
167.0,27.41822232564614,3.1721342833509425,27.40825049095045,1.8958287883758658,27.40162309360962,-1.1351564335886621,27.407453645410392,-2.661898633513175
