memory,r_deg,i_deg,score,n_coef,N
1,9,9,0.3948430564508184,36,9676
1,9,10,0.39433966133066034,38,9676
1,9,11,0.3913334745495514,40,9676
1,9,12,0.39130732363804616,42,9676
1,9,13,0.38930331502663135,44,9676
1,9,14,0.3892781014341393,46,9676
1,9,15,0.38898283402983697,48,9676
1,10,1,0.8049287662105478,22,9676
1,10,2,0.42994856283012034,24,9676
1,10,3,0.40603846014198036,26,9676
1,10,4,0.3962293536055584,28,9676
1,10,5,0.39608567993605337,30,9676
1,10,6,0.3957180010233025,32,9676
1,10,7,0.3954814274322322,34,9676
1,10,8,0.3953158618915998,36,9676
1,10,9,0.394099770125066,38,9676
1,10,10,0.3935898637789598,40,9676
1,10,11,0.3905326836091295,42,9676
1,10,12,0.39051835486455594,44,9676
1,10,13,0.3885229179784562,46,9676
1,10,14,0.3885007168686929,48,9676
1,10,15,0.3882054072097629,50,9676
1,11,1,0.7999267816115421,24,9676
1,11,2,0.4266707018641335,26,9676
1,11,3,0.4035511677164926,28,9676
1,11,4,0.3936991247311828,30,9676
1,11,5,0.39356863118911667,32,9676
1,11,6,0.3931700457972566,34,9676
1,11,7,0.39293113072042174,36,9676
1,11,8,0.39277915531762747,38,9676
1,11,9,0.3914649810537433,40,9676
1,11,10,0.39089734594025743,42,9676
1,11,11,0.38775939635844964,44,9676
1,11,12,0.3877466022516296,46,9676
1,11,13,0.3856981608145462,48,9676
1,11,14,0.38567673673325803,50,9676
1,11,15,0.385339143523307,52,9676
1,12,1,0.7959902846094108,26,9676
1,12,2,0.42671430394850157,28,9676
1,12,3,0.40350004326508426,30,9676
1,12,4,0.3937003948067743,32,9676
1,12,5,0.3935654945744346,34,9676
1,12,6,0.39315247022103905,36,9676
1,12,7,0.392919372813545,38,9676
1,12,8,0.39276567629810355,40,9676
1,12,9,0.39143038493171706,42,9676
1,12,10,0.39087283359120056,44,9676
1,12,11,0.38773735573120566,46,9676
1,12,12,0.387730569986013,48,9676
1,12,13,0.38568184545355766,50,9676
1,12,14,0.38566648429841893,52,9676
1,12,15,0.38532733838053984,54,9676
1,13,1,0.7918941111630795,28,9676
