memory,r_deg,i_deg,lag_depth,lead_depth,estimator_factory,score,n_coef,N
1,1,1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488424884689501,4,9671
1,1,1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488426229490065,4,9671
1,1,1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488442556253359,4,9671
1,1,1,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488676978273578,4,9670
1,1,1,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488676991343407,4,9670
1,1,1,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488677122332014,4,9670
1,1,1,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488678461230202,4,9670
1,1,1,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488694729444556,4,9670
1,1,1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488927730405949,4,9669
1,1,1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488927743417545,4,9669
1,1,1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488927873823841,4,9669
1,1,1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.948892920690354,4,9669
1,1,1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488945417388465,4,9669
1,1,1,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.948916030479034,4,9668
1,1,1,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9489160317745838,4,9668
1,1,1,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489160447591264,4,9668
1,1,1,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489161775066678,4,9668
1,1,1,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489177929956294,4,9668
1,1,1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9489404136626052,4,9667
1,1,1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9489404149537337,4,9667
1,1,1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489404278940724,4,9667
1,1,1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489405601999905,4,9667
1,1,1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489421713141846,4,9667
1,1,1,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488743464440103,4,9670
1,1,1,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488743477647721,4,9670
1,1,1,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488743610014132,4,9670
1,1,1,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488744962684572,4,9670
1,1,1,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488761368037373,4,9670
1,1,1,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488995722254335,4,9669
1,1,1,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488995735402863,4,9669
1,1,1,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.948899586717855,4,9669
1,1,1,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488997213946306,4,9669
1,1,1,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489013560747236,4,9669
1,1,1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9489246504408947,4,9668
1,1,1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9489246517499238,4,9668
1,1,1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489246648692543,4,9668
1,1,1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489247989641159,4,9668
1,1,1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489264278706238,4,9668
1,1,1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.948947911431955,4,9667
1,1,1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9489479127353745,4,9667
1,1,1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489479257986096,4,9667
1,1,1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489480593329658,4,9667
1,1,1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489496826791908,4,9667
1,1,1,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9489722990073404,4,9666
1,1,1,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.948972300306338,4,9666
1,1,1,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489723133253632,4,9666
1,1,1,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489724464180387,4,9666
1,1,1,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489740653889132,4,9666
1,1,2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.7042231192466437,10,9674
1,1,2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.704225474259715,10,9674
1,1,2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.7042822925129554,10,9674
1,1,2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.7066100705544737,10,9674
1,1,2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.7265828461271382,10,9674
1,1,2,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.6669847242128641,12,9673
1,1,2,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6669872643186425,12,9673
1,1,2,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6670371309439026,12,9673
1,1,2,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6685947014187865,12,9673
1,1,2,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6813363884615736,12,9673
1,1,2,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.6408697781980819,14,9672
1,1,2,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6408721754651137,14,9672
1,1,2,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6409223429943676,14,9672
1,1,2,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6426181731342927,14,9672
1,1,2,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6553121391994561,14,9672
1,1,2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.612128128728999,16,9671
1,1,2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6121367907459908,16,9671
1,1,2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6122739633966623,16,9671
1,1,2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.614683618072902,16,9671
1,1,2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6278583264688592,16,9671
1,1,2,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5799872359410422,18,9670
1,1,2,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5799999804766025,18,9670
1,1,2,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5802058663205738,18,9670
1,1,2,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5836055286079513,18,9670
1,1,2,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.597858219782308,18,9670
1,1,2,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.668664250779048,12,9673
1,1,2,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6686660494216108,12,9673
1,1,2,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6687112499286623,12,9673
1,1,2,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6703047434478877,12,9673
1,1,2,2,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6824930804533718,12,9673
1,1,2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.6294286812407692,14,9672
1,1,2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6294296496556637,14,9672
1,1,2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6294420286851466,14,9672
1,1,2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6296426665627598,14,9672
1,1,2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6315791002307098,14,9672
1,1,2,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.6002982891912106,16,9671
1,1,2,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6003006019757972,16,9671
1,1,2,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6003282939531417,16,9671
1,1,2,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6006938636193162,16,9671
1,1,2,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6022705993514256,16,9671
1,1,2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5689269633370769,18,9670
